order_details_id,order_id,pizza_id,quantity
1,1,hawaiian_m,1
2,2,classic_dlx_m,1
3,2,five_cheese_l,1
4,2,ital_supr_l,1
5,2,mexicana_m,1
6,2,thai_ckn_l,1
7,3,ital_supr_m,1
8,3,prsc_argla_l,1
9,4,ital_supr_m,1
10,5,ital_supr_m,1
11,6,bbq_ckn_s,1
12,6,the_greek_s,1
13,7,spinach_supr_s,1
14,8,spinach_supr_s,1
15,9,classic_dlx_s,1
16,9,green_garden_s,1
17,9,ital_cpcllo_l,1
18,9,ital_supr_l,1
19,9,ital_supr_s,1
20,9,mexicana_s,1
21,9,spicy_ital_l,1
22,9,spin_pesto_l,1
23,9,veggie_veg_s,1
24,10,mexicana_l,1
25,10,southw_ckn_l,1
26,11,bbq_ckn_l,1
27,11,cali_ckn_l,1
28,11,cali_ckn_m,1
29,11,pepperoni_l,1
30,12,cali_ckn_l,1
31,12,cali_ckn_s,1
32,12,ckn_pesto_l,1
33,12,ital_supr_m,1
34,13,mexicana_l,1
35,14,the_greek_s,1
36,15,big_meat_s,1
37,15,five_cheese_l,1
38,15,soppressata_l,1
39,15,the_greek_s,1
40,16,four_cheese_l,1
41,16,napolitana_s,1
42,16,thai_ckn_l,1
43,17,bbq_ckn_l,1
44,17,calabrese_m,1
45,17,five_cheese_l,1
46,17,four_cheese_m,1
47,17,ital_supr_m,1
48,17,ital_veggie_s,1
49,17,mediterraneo_m,2
50,17,mexicana_l,1
51,17,peppr_salami_s,1
52,17,spinach_fet_l,1
53,18,napolitana_l,1
54,19,ital_cpcllo_l,1
55,19,sicilian_l,1
56,20,big_meat_s,1
57,20,five_cheese_l,1
58,21,ital_cpcllo_l,1
59,22,five_cheese_l,1
60,22,ital_cpcllo_m,1
61,22,southw_ckn_l,1
62,23,southw_ckn_s,1
63,24,bbq_ckn_m,1
64,24,ital_cpcllo_m,1
65,24,pepperoni_m,1
66,24,prsc_argla_s,1
67,25,sicilian_m,1
68,25,thai_ckn_l,1
69,26,classic_dlx_s,1
70,26,veggie_veg_l,1
71,27,bbq_ckn_l,1
72,27,classic_dlx_m,1
73,27,spinach_fet_l,1
